vid,start,end,text
FGLEomyV3Ng,359360,362638,rubber bands yeah what if i'm just like
FGLEomyV3Ng,363759,366639,oh it's beautiful see there's no right
FGLEomyV3Ng,366639,368800,way to do art it's trying to tell me
FGLEomyV3Ng,368800,370639,that there's a right way to do art and
FGLEomyV3Ng,370639,374160,there's not a right way to do art like
FGLEomyV3Ng,374160,376560,this is beautiful look at this
FGLEomyV3Ng,376560,377440,this
FGLEomyV3Ng,377440,378319,is
FGLEomyV3Ng,378319,379919,you t
FGLEomyV3Ng,379919,381600,full you're restricting my creative
FGLEomyV3Ng,381600,383759,freedoms sponge art i don't appreciate
FGLEomyV3Ng,383759,385280,it so i'm gonna look for something else
FGLEomyV3Ng,385280,386880,all right let's try coloring match
FGLEomyV3Ng,386880,389280,because i keep seeing this on my top app
FGLEomyV3Ng,389280,392000,charts like for months now and i see
FGLEomyV3Ng,392000,394000,really weird commercials with vegetables
FGLEomyV3Ng,394000,395840,yelling at me about it so i need to try
FGLEomyV3Ng,395840,397759,it welcome bring your brush to the
FGLEomyV3Ng,397759,400160,palette and pick one color then bring it
FGLEomyV3Ng,400160,402560,to the canvas to paint oh my god there
FGLEomyV3Ng,402560,404400,are i thought you know mobile ads
FGLEomyV3Ng,404400,406400,usually lie to you i did not think there
FGLEomyV3Ng,406400,408400,was actual talking fruits and vegetables
FGLEomyV3Ng,408400,410639,in this so i have to match his color
FGLEomyV3Ng,410639,412880,let's just amazing now pick another
FGLEomyV3Ng,412880,414479,color from the palette to mix with the
FGLEomyV3Ng,414479,417440,previous one i think it's this one oh oh
FGLEomyV3Ng,417440,420720,his face yes is that correct ah
FGLEomyV3Ng,420720,422800,it's getting close to your color
FGLEomyV3Ng,422800,424960,amazing you've got a passing grade you
FGLEomyV3Ng,424960,426560,can compare or you can continue to
FGLEomyV3Ng,426560,428880,become perfect i must continue to become
FGLEomyV3Ng,428880,432000,perfect peach
FGLEomyV3Ng,433120,434960,it should be darker than that to match
FGLEomyV3Ng,434960,437440,ah this needs a lighter color to match
FGLEomyV3Ng,437440,438319,ah
FGLEomyV3Ng,438319,440319,it's too dark now are you kidding me
FGLEomyV3Ng,440319,441840,close enough
FGLEomyV3Ng,441840,444479,wow you almost found what i am but not
FGLEomyV3Ng,444479,447680,exactly peace go sour what i'm good at
FGLEomyV3Ng,447680,449759,this oh and then we actually get to
FGLEomyV3Ng,449759,452560,spray it oh i hope nobody eats it
FGLEomyV3Ng,452560,454880,because like we discussed earlier you
FGLEomyV3Ng,454880,458560,shouldn't eat paint wow
FGLEomyV3Ng,458560,461280,are you enjoying playing in the garden
FGLEomyV3Ng,461280,463759,yes i am it's really weird but that's
FGLEomyV3Ng,463759,468240,what i'm going for lemon curd okay
FGLEomyV3Ng,468240,471199,amazing you got a passing grade no no
FGLEomyV3Ng,471199,473039,compare or you can continue to become
FGLEomyV3Ng,473039,475919,perfect perfect perfection
FGLEomyV3Ng,475919,478160,why don't you add a darker color now i
FGLEomyV3Ng,478160,480479,don't i think you're ruining it i don't
FGLEomyV3Ng,480479,482639,think this is it that's not it why did
FGLEomyV3Ng,482639,484800,you tell me to add a darker color banana
FGLEomyV3Ng,484800,486960,why don't you add a darker color now no
FGLEomyV3Ng,486960,488800,but it doesn't look right you're trying
FGLEomyV3Ng,488800,490800,to trick me banana i don't know i feel
FGLEomyV3Ng,490800,492639,like this is it
FGLEomyV3Ng,492639,495039,well you almost found out what i am but
FGLEomyV3Ng,495039,497520,not exactly maze
FGLEomyV3Ng,497520,499599,even with your trickery banana even with
FGLEomyV3Ng,499599,501680,your trickery i got a 99
FGLEomyV3Ng,501680,503120,why am i into this game more than i
FGLEomyV3Ng,503120,505199,thought i was gonna be we will spray the
FGLEomyV3Ng,505199,508080,bananas
FGLEomyV3Ng,508720,509759,yes
FGLEomyV3Ng,509759,512719,hi my name is blackberry oh hi i'm
FGLEomyV3Ng,512719,514800,enjoying all these conversations with
FGLEomyV3Ng,514800,517360,fruit while i create my colors with my
FGLEomyV3Ng,517360,520159,perfect art why am i still playing this
FGLEomyV3Ng,520159,523279,game well you almost found out what i am
FGLEomyV3Ng,523279,525680,but not exactly eggplant this game gives
FGLEomyV3Ng,525680,527519,me such a rush
FGLEomyV3Ng,527519,529600,you've made it to the fourth object keep
FGLEomyV3Ng,529600,532240,playing okay don't tell me what to do
FGLEomyV3Ng,532240,534399,what are you i don't know what this is
FGLEomyV3Ng,534399,536560,supposed to be are you a
FGLEomyV3Ng,536560,539680,sweet potato it's the garden now why are
FGLEomyV3Ng,539680,541760,you judging me more palace than that's a
FGLEomyV3Ng,541760,542959,match
FGLEomyV3Ng,542959,545600,that's pretty close but try it
FGLEomyV3Ng,545600,549360,you are one of a kind painter
FGLEomyV3Ng,549360,551120,it has finally happened
FGLEomyV3Ng,551120,554320,i got a 100 accuracy still have no idea
FGLEomyV3Ng,554320,556560,what this is but please don't eat it it
FGLEomyV3Ng,556560,559519,has chemicals all over it all right well
FGLEomyV3Ng,559519,561839,i beat art because i got a hundred
FGLEomyV3Ng,561839,563839,percent so i don't i don't have to play
FGLEomyV3Ng,563839,565920,the game ever again but yeah if you will
FGLEomyV3Ng,565920,567440,now go into the bathroom and see a
FGLEomyV3Ng,567440,569040,canvas instead of a toilet then make
FGLEomyV3Ng,569040,570959,sure you leave a like before you go also
FGLEomyV3Ng,570959,571920,if you're looking for something else to
FGLEomyV3Ng,571920,573440,watch why not check out one of these
FGLEomyV3Ng,573440,575760,videos or hit the subscribe button if
FGLEomyV3Ng,575760,577760,you're new why wouldn't you i'm clearly
FGLEomyV3Ng,577760,579920,an amazing artist that can make art out
FGLEomyV3Ng,579920,583279,of anything and as always i will see you
FGLEomyV3Ng,583279,586000,guys soon
vid,start,end,text
FGLEomyV3Ng,320,2800,here that the nope okay we're gonna go
FGLEomyV3Ng,2800,3840,yeah
FGLEomyV3Ng,3840,6560,no you did it again why don't you add a
FGLEomyV3Ng,6560,8480,darker color now i don't think this is
FGLEomyV3Ng,8480,10240,it why did you tell me to add a darker
FGLEomyV3Ng,10240,12400,color banana why don't you add a darker
FGLEomyV3Ng,12400,14480,color now you're trying to trick me
FGLEomyV3Ng,14480,16950,banana
FGLEomyV3Ng,16950,19680,[Music]
FGLEomyV3Ng,19680,22800,so art can be made out of anything right
FGLEomyV3Ng,22800,26640,like anything could become art anything
FGLEomyV3Ng,26640,28640,i mean according to the app store you
FGLEomyV3Ng,28640,32160,can even make art from toilets i mean i
FGLEomyV3Ng,32160,33600,don't know if you guys are like me but
FGLEomyV3Ng,33600,36239,when i go into a bathroom i don't see a
FGLEomyV3Ng,36239,37200,toilet
FGLEomyV3Ng,37200,39600,i see a canvas is that a quote has
FGLEomyV3Ng,39600,41280,anybody trademarked that quote yet if
FGLEomyV3Ng,41280,43200,not it is my quote when i go into a
FGLEomyV3Ng,43200,46719,bathroom i don't see a toilet i see
FGLEomyV3Ng,46719,50079,a canvas lauren z said 2022. also take
FGLEomyV3Ng,50079,51680,it out of context that sounds really
FGLEomyV3Ng,51680,52719,gross
FGLEomyV3Ng,52719,54480,sounds like it would be in like a frat
FGLEomyV3Ng,54480,56879,guy's bathroom that quote i'm gonna
FGLEomyV3Ng,56879,58359,market it anyway
FGLEomyV3Ng,58359,61199,toilart that's what we're playing today
FGLEomyV3Ng,61199,64640,the most interesting way to art ah yes
FGLEomyV3Ng,64640,68720,my canvas awaits open it what
FGLEomyV3Ng,68720,71280,can you please do
FGLEomyV3Ng,71280,72400,wait a minute
FGLEomyV3Ng,72400,74720,so people are hiring me to do this i'm
FGLEomyV3Ng,74720,76640,not just going into a bathroom and doing
FGLEomyV3Ng,76640,79280,it for fun people want me to do this i'm
FGLEomyV3Ng,79280,81600,being invited to people's houses to do
FGLEomyV3Ng,81600,83600,this to their toilets i'm gonna make
FGLEomyV3Ng,83600,86240,this toilet so beautiful that this man
FGLEomyV3Ng,86240,88479,will never use his toilet again because
FGLEomyV3Ng,88479,90400,otherwise it'll ruin it and he'll just
FGLEomyV3Ng,90400,91680,have to hold number one or number two
FGLEomyV3Ng,91680,93600,until he explodes because my art is that
FGLEomyV3Ng,93600,96880,good all right yes oh
FGLEomyV3Ng,96880,99520,this is oddly satisfying i missed a
FGLEomyV3Ng,99520,101280,little bit down here there we go now we
FGLEomyV3Ng,101280,103920,position it here yes
FGLEomyV3Ng,103920,106640,oh yeah oh yes
FGLEomyV3Ng,106640,110159,it is gorgeous you're never gonna use
FGLEomyV3Ng,110159,112560,this toilet again you should have
FGLEomyV3Ng,112560,114880,thought of that before you hired me
FGLEomyV3Ng,114880,117439,beautiful now what do we do with it we
FGLEomyV3Ng,117439,119040,just do we just come into the bathroom
FGLEomyV3Ng,119040,120880,and stare at it i got a hundred dollars
FGLEomyV3Ng,120880,123280,for that a hundred dollars to ruin
FGLEomyV3Ng,123280,126399,somebody's toilet do please with a sad
FGLEomyV3Ng,126399,129440,face oh you want an elephant in there do
FGLEomyV3Ng,129440,132480,ya is this a thing did i miss this trend
FGLEomyV3Ng,132480,135280,was this a trend why though oh she wants
FGLEomyV3Ng,135280,137040,me to make the whole world she's like
FGLEomyV3Ng,137040,139040,when i go to the bathroom i like to
FGLEomyV3Ng,139040,141760,pretend that i'm going on all of the bad
FGLEomyV3Ng,141760,143520,people in the world and i'm making the
FGLEomyV3Ng,143520,145840,world a better place by doing my
FGLEomyV3Ng,145840,147840,business on the bad people i understand
FGLEomyV3Ng,147840,150879,ma'am i do the same thing in my house do
FGLEomyV3Ng,150879,153040,these colors pliss like at least spell
FGLEomyV3Ng,153040,155760,please in here ah so you want pac-man do
FGLEomyV3Ng,155760,158480,ya why is that do you want to pretend
FGLEomyV3Ng,158480,160720,like he's eating the dudes wha what's
FGLEomyV3Ng,160720,163200,happening this this may be one of the
FGLEomyV3Ng,163200,166080,weirdest get why what is please do this
FGLEomyV3Ng,166080,168640,but why why do you want these colors in
FGLEomyV3Ng,168640,170959,here it doesn't even make anything i
FGLEomyV3Ng,170959,173840,don't know what i just made but what 75
FGLEomyV3Ng,173840,176080,accuracy are you kidding me oh my god
FGLEomyV3Ng,176080,178560,i'm making an alien where the toilet
FGLEomyV3Ng,178560,182159,hole is the mouth of the alien
FGLEomyV3Ng,182159,185120,some sadistic people that uh want me to
FGLEomyV3Ng,185120,186959,make weird things in their toilet he's
FGLEomyV3Ng,186959,188480,also sending me hearts i think he's
FGLEomyV3Ng,188480,190400,hitting on me guys he's hitting on me
FGLEomyV3Ng,190400,192640,and i'm not okay with it with the sponge
FGLEomyV3Ng,192640,194400,this looks like a pig now people are
FGLEomyV3Ng,194400,196080,weird why do you want this i don't
FGLEomyV3Ng,196080,198480,understand this whole app it's just like
FGLEomyV3Ng,198480,202159,but why but why am i doing this ah
FGLEomyV3Ng,202159,203519,i think this will be my final
FGLEomyV3Ng,203519,205440,masterpiece i love it and would like to
FGLEomyV3Ng,205440,206879,have it in my
FGLEomyV3Ng,206879,208480,toilet as well but honestly like what
FGLEomyV3Ng,208480,210239,are you doing with this after do you go
FGLEomyV3Ng,210239,212560,to the bathroom on it how dare you go to
FGLEomyV3Ng,212560,215120,the bathroom on my art beautiful my
FGLEomyV3Ng,215120,216879,masterpiece all right that's all the
FGLEomyV3Ng,216879,219200,toilet humor i have without getting
FGLEomyV3Ng,219200,221440,demonetized and although these colors
FGLEomyV3Ng,221440,223200,are very vibrant and pretty i really
FGLEomyV3Ng,223200,225360,want to i'm going to dump a little bit i
FGLEomyV3Ng,225360,227280,can't resist this is addicting yes yes
FGLEomyV3Ng,227280,228799,yes okay that's all i'm gonna do what
FGLEomyV3Ng,228799,230239,i'm trying to say is i'm done with
FGLEomyV3Ng,230239,232319,toilet art but the next time you go to
FGLEomyV3Ng,232319,234560,the bathroom remember when other people
FGLEomyV3Ng,234560,237360,see a toilet you should see a canvas but
FGLEomyV3Ng,237360,238720,don't tell other people that because
FGLEomyV3Ng,238720,240080,people will think you're weird and mean
FGLEomyV3Ng,240080,241840,something totally different than this
FGLEomyV3Ng,241840,243439,now you're probably wondering what's
FGLEomyV3Ng,243439,246239,next what could compete with toilet art
FGLEomyV3Ng,246239,250480,oh i'll tell you it's sponge art yep
FGLEomyV3Ng,250480,252319,it's a sponge and we're gonna take
FGLEomyV3Ng,252319,255040,rubber bands and do this oh this is
FGLEomyV3Ng,255040,258400,oddly satisfying though wow
FGLEomyV3Ng,258400,260959,oh we're making a cool pig next okay we
FGLEomyV3Ng,260959,262479,have three rubber bands to make this
FGLEomyV3Ng,262479,265040,happen we must do one
FGLEomyV3Ng,265040,268160,here and here oh no his ears are way too
FGLEomyV3Ng,268160,269919,tiny
FGLEomyV3Ng,269919,272160,would it be nope i mean it was kind of
FGLEomyV3Ng,272160,276400,close do i have to get it like perfect
FGLEomyV3Ng,278000,279759,there we go
FGLEomyV3Ng,279759,282720,wait so i'm just stamping these all i'm
FGLEomyV3Ng,282720,285360,doing is the rubber banding this isn't
FGLEomyV3Ng,285360,286330,art
FGLEomyV3Ng,286330,288720,[Music]
FGLEomyV3Ng,288720,292800,wow we made gerald whoa okay oh i know
FGLEomyV3Ng,292800,294320,we're gonna go from here to here and
FGLEomyV3Ng,294320,296479,from here to here and from here to here
FGLEomyV3Ng,296479,297360,oh
FGLEomyV3Ng,297360,299759,wait i'm so good at this i mean that's
FGLEomyV3Ng,299759,301360,cute what do you do with these though
FGLEomyV3Ng,301360,303360,can you use them or does the paint get
FGLEomyV3Ng,303360,306800,all over your dishes and cause cancer
FGLEomyV3Ng,306800,308960,that's a dark joke and also not don't
FGLEomyV3Ng,308960,312160,ingest paint please okay this go here
FGLEomyV3Ng,312160,313680,and then
FGLEomyV3Ng,313680,315759,here oh that
FGLEomyV3Ng,315759,316720,nope
FGLEomyV3Ng,316720,319199,nope okay we're gonna go here
FGLEomyV3Ng,319199,322840,no you did it again how do i do this
FGLEomyV3Ng,322840,327759,yeah there we go isaiah asked for a hint
FGLEomyV3Ng,327759,330000,sweet this game is tricky i didn't know
FGLEomyV3Ng,330000,332960,art could be tricky
FGLEomyV3Ng,332960,333840,oh
FGLEomyV3Ng,333840,334580,i love him
FGLEomyV3Ng,334580,335759,[Music]
FGLEomyV3Ng,335759,339039,oh okay
FGLEomyV3Ng,339039,340800,i got this
FGLEomyV3Ng,340800,342880,oh it's so cute this doesn't feel like
FGLEomyV3Ng,342880,345199,art so much as it feels like
FGLEomyV3Ng,345199,348080,wrapping rubber bands of brown sponges
FGLEomyV3Ng,348080,349199,art
FGLEomyV3Ng,349199,352880,is this art it might be
FGLEomyV3Ng,352880,355039,okay i'm over this ten levels in and i'm
FGLEomyV3Ng,355039,357440,doing the same thing again and again it
FGLEomyV3Ng,357440,359360,doesn't feel like art oh i get five
FGLEomyV3Ng,359360,362638,rubber bands yeah what if i'm just like
FGLEomyV3Ng,363759,366639,oh it's beautiful see there's no right
FGLEomyV3Ng,366639,368800,way to do art it's trying to tell me
FGLEomyV3Ng,368800,370639,that there's a right way to do art and
FGLEomyV3Ng,370639,374160,there's not a right way to do art like
FGLEomyV3Ng,374160,376560,this is beautiful look at this
FGLEomyV3Ng,376560,377440,this
FGLEomyV3Ng,377440,378319,is
FGLEomyV3Ng,378319,379919,you t
FGLEomyV3Ng,379919,381600,full you're restricting my creative
FGLEomyV3Ng,381600,383759,freedoms sponge art i don't appreciate
FGLEomyV3Ng,383759,385280,it so i'm gonna look for something else
FGLEomyV3Ng,385280,386880,all right let's try coloring match
FGLEomyV3Ng,386880,389280,because i keep seeing this on my top app
FGLEomyV3Ng,389280,392000,charts like for months now and i see
FGLEomyV3Ng,392000,394000,really weird commercials with vegetables
FGLEomyV3Ng,394000,395840,yelling at me about it so i need to try
FGLEomyV3Ng,395840,397759,it welcome bring your brush to the
FGLEomyV3Ng,397759,400160,palette and pick one color then bring it
FGLEomyV3Ng,400160,402560,to the canvas to paint oh my god there
FGLEomyV3Ng,402560,404400,are i thought you know mobile ads
FGLEomyV3Ng,404400,406400,usually lie to you i did not think there
FGLEomyV3Ng,406400,408400,was actual talking fruits and vegetables
FGLEomyV3Ng,408400,410639,in this so i have to match his color
FGLEomyV3Ng,410639,412880,let's just amazing now pick another
FGLEomyV3Ng,412880,414479,color from the palette to mix with the
FGLEomyV3Ng,414479,417440,previous one i think it's this one oh oh
FGLEomyV3Ng,417440,420720,his face yes is that correct ah
FGLEomyV3Ng,420720,422800,it's getting close to your color
FGLEomyV3Ng,422800,424960,amazing you've got a passing grade you
FGLEomyV3Ng,424960,426560,can compare or you can continue to
FGLEomyV3Ng,426560,428880,become perfect i must continue to become
FGLEomyV3Ng,428880,432000,perfect peach
FGLEomyV3Ng,433120,434960,it should be darker than that to match
FGLEomyV3Ng,434960,437440,ah this needs a lighter color to match
FGLEomyV3Ng,437440,438319,ah
FGLEomyV3Ng,438319,440319,it's too dark now are you kidding me
FGLEomyV3Ng,440319,441840,close enough
FGLEomyV3Ng,441840,444479,wow you almost found what i am but not
FGLEomyV3Ng,444479,447680,exactly peace go sour what i'm good at
FGLEomyV3Ng,447680,449759,this oh and then we actually get to
FGLEomyV3Ng,449759,452560,spray it oh i hope nobody eats it
FGLEomyV3Ng,452560,454880,because like we discussed earlier you
FGLEomyV3Ng,454880,458560,shouldn't eat paint wow
FGLEomyV3Ng,458560,461280,are you enjoying playing in the garden
FGLEomyV3Ng,461280,463759,yes i am it's really weird but that's
FGLEomyV3Ng,463759,468240,what i'm going for lemon curd okay
FGLEomyV3Ng,468240,471199,amazing you got a passing grade no no
FGLEomyV3Ng,471199,473039,compare or you can continue to become
FGLEomyV3Ng,473039,475919,perfect perfect perfection
FGLEomyV3Ng,475919,478160,why don't you add a darker color now i
FGLEomyV3Ng,478160,480479,don't i think you're ruining it i don't
FGLEomyV3Ng,480479,482639,think this is it that's not it why did
FGLEomyV3Ng,482639,484800,you tell me to add a darker color banana
FGLEomyV3Ng,484800,486960,why don't you add a darker color now no
FGLEomyV3Ng,486960,488800,but it doesn't look right you're trying
FGLEomyV3Ng,488800,490800,to trick me banana i don't know i feel
FGLEomyV3Ng,490800,492639,like this is it
FGLEomyV3Ng,492639,495039,well you almost found out what i am but
FGLEomyV3Ng,495039,497520,not exactly maze
FGLEomyV3Ng,497520,499599,even with your trickery banana even with
FGLEomyV3Ng,499599,501680,your trickery i got a 99
FGLEomyV3Ng,501680,503120,why am i into this game more than i
FGLEomyV3Ng,503120,505199,thought i was gonna be we will spray the
FGLEomyV3Ng,505199,508080,bananas
FGLEomyV3Ng,508720,509759,yes
FGLEomyV3Ng,509759,512719,hi my name is blackberry oh hi i'm
FGLEomyV3Ng,512719,514800,enjoying all these conversations with
FGLEomyV3Ng,514800,517360,fruit while i create my colors with my
FGLEomyV3Ng,517360,520159,perfect art why am i still playing this
