vid,start,end,text
r5uzOs463u0,1459840,1467350,so  [Music]  [Laughter]
r5uzOs463u0,1467350,1488119,[Music]
r5uzOs463u0,1488559,1504640,so  [Music]
r5uzOs463u0,1504640,1507640,do
r5uzOs463u0,1513750,1532400,[Music]
r5uzOs463u0,1532400,1549289,do  [Music]
r5uzOs463u0,1552030,1557580,[Music]  you
r5uzOs463u0,1557580,1588880,[Music]
r5uzOs463u0,1588880,1614819,so  [Music]
r5uzOs463u0,1615039,1652739,so  [Music]
r5uzOs463u0,1659690,1667319,[Music]
r5uzOs463u0,1671260,1677910,[Music]
r5uzOs463u0,1678720,1685609,do  [Music]
r5uzOs463u0,1688399,1698919,do  [Applause]  [Music]
r5uzOs463u0,1701600,1728509,do  [Music]
r5uzOs463u0,1730980,1751490,[Music]
r5uzOs463u0,1751490,1761239,[Applause]  [Music]
r5uzOs463u0,1767550,1796549,[Music]
r5uzOs463u0,1799039,1802039,do
r5uzOs463u0,1804170,1807529,[Music]
r5uzOs463u0,1809700,1842049,[Music]
r5uzOs463u0,1842320,1851039,do  [Music]
r5uzOs463u0,1851039,1881039,so  [Music]
r5uzOs463u0,1881039,1962809,so  [Music]
r5uzOs463u0,1964940,1987629,[Music]
r5uzOs463u0,1989930,1995089,[Music]
r5uzOs463u0,2003230,2008520,[Music]  [Applause]
r5uzOs463u0,2008520,2014610,[Music]  [Applause]  [Music]
r5uzOs463u0,2014610,2024390,[Applause]  [Music]
r5uzOs463u0,2030290,2041440,[Music]
r5uzOs463u0,2041440,2043518,you
vid,start,end,text
r5uzOs463u0,510,32238,[Music]  is  [Music]
r5uzOs463u0,32238,71120,so  [Music]
r5uzOs463u0,71120,96320,[Applause]  [Music]
r5uzOs463u0,96320,99320,wow
r5uzOs463u0,104160,111860,[Music]
r5uzOs463u0,126150,138559,[Music]
r5uzOs463u0,143040,146110,[Music]
r5uzOs463u0,149050,153319,[Music]
r5uzOs463u0,158410,161940,[Music]
r5uzOs463u0,169220,172270,[Music]
r5uzOs463u0,179650,182889,[Music]
r5uzOs463u0,185130,200120,[Music]
r5uzOs463u0,204120,413529,[Music]
r5uzOs463u0,414560,419680,so  [Music]
r5uzOs463u0,421850,424959,[Music]
r5uzOs463u0,427680,473260,[Music]
r5uzOs463u0,509360,537178,[Music]
r5uzOs463u0,538080,578210,so  [Music]
r5uzOs463u0,580240,617260,so  [Music]
r5uzOs463u0,621519,670150,so  [Music]
r5uzOs463u0,688910,736480,[Music]
r5uzOs463u0,736480,787380,do  [Music]
r5uzOs463u0,792320,795320,so
r5uzOs463u0,841040,931668,[Music]
r5uzOs463u0,942720,954660,boom  [Music]
r5uzOs463u0,957070,960659,[Music]
r5uzOs463u0,964639,1002399,hmm  [Music]
r5uzOs463u0,1002399,1026930,so  [Music]
r5uzOs463u0,1029438,1057919,so  [Music]
r5uzOs463u0,1057919,1071440,so  [Music]
r5uzOs463u0,1074220,1081939,[Music]
r5uzOs463u0,1085840,1098240,so  [Music]
r5uzOs463u0,1098240,1117470,so  [Music]
r5uzOs463u0,1120400,1152040,[Music]
r5uzOs463u0,1190950,1198020,[Music]
r5uzOs463u0,1198020,1201140,[Applause]
r5uzOs463u0,1204940,1214969,[Music]
r5uzOs463u0,1220000,1248869,[Music]
r5uzOs463u0,1251530,1254660,[Music]
r5uzOs463u0,1279770,1358299,[Music]
r5uzOs463u0,1373440,1379110,[Music]  do
r5uzOs463u0,1379110,1410960,[Music]
r5uzOs463u0,1410960,1419760,do  [Music]
r5uzOs463u0,1422190,1444230,[Music]
r5uzOs463u0,1444230,1449630,[Applause]  [Music]
r5uzOs463u0,1454720,1458799,[Music]
r5uzOs463u0,1459840,1467350,so  [Music]  [Laughter]
r5uzOs463u0,1467350,1488119,[Music]
r5uzOs463u0,1488559,1504640,so  [Music]
r5uzOs463u0,1504640,1507640,do
r5uzOs463u0,1513750,1532400,[Music]
r5uzOs463u0,1532400,1549289,do  [Music]
r5uzOs463u0,1552030,1557580,[Music]  you
r5uzOs463u0,1557580,1588880,[Music]
r5uzOs463u0,1588880,1614819,so  [Music]
r5uzOs463u0,1615039,1652739,so  [Music]
r5uzOs463u0,1659690,1667319,[Music]
r5uzOs463u0,1671260,1677910,[Music]
r5uzOs463u0,1678720,1685609,do  [Music]
r5uzOs463u0,1688399,1698919,do  [Applause]  [Music]
r5uzOs463u0,1701600,1728509,do  [Music]
r5uzOs463u0,1730980,1751490,[Music]
r5uzOs463u0,1751490,1761239,[Applause]  [Music]
r5uzOs463u0,1767550,1796549,[Music]
r5uzOs463u0,1799039,1802039,do
r5uzOs463u0,1804170,1807529,[Music]
r5uzOs463u0,1809700,1842049,[Music]
r5uzOs463u0,1842320,1851039,do  [Music]
r5uzOs463u0,1851039,1881039,so  [Music]
r5uzOs463u0,1881039,1962809,so  [Music]
r5uzOs463u0,1964940,1987629,[Music]
r5uzOs463u0,1989930,1995089,[Music]
r5uzOs463u0,2003230,2008520,[Music]  [Applause]
r5uzOs463u0,2008520,2014610,[Music]  [Applause]  [Music]
r5uzOs463u0,2014610,2024390,[Applause]  [Music]
r5uzOs463u0,2030290,2041440,[Music]
r5uzOs463u0,2041440,2043518,you
